start_day_of_week,start_hour_label,trip_count
Friday,1 AM,12800
Friday,1 PM,77682
Friday,10 AM,58152
Friday,10 PM,47729
Friday,11 AM,62690
Friday,11 PM,41039
Friday,12 AM,21841
Friday,12 PM,71541
Friday,2 AM,7601
Friday,2 PM,82469
Friday,3 AM,4674
Friday,3 PM,91482
Friday,4 AM,4475
Friday,4 PM,104135
Friday,5 AM,9499
Friday,5 PM,121174
Friday,6 AM,25758
Friday,6 PM,106276
Friday,7 AM,45910
Friday,7 PM,82881
Friday,8 AM,68691
Friday,8 PM,66219
Friday,9 AM,66549
Friday,9 PM,51821
Monday,1 AM,7885
Monday,1 PM,62296
Monday,10 AM,51684
Monday,10 PM,39811
Monday,11 AM,53813
Monday,11 PM,26419
Monday,12 AM,15931
Monday,12 PM,60713
Monday,2 AM,4492
Monday,2 PM,65317
Monday,3 AM,3072
Monday,3 PM,74251
Monday,4 AM,3668
Monday,4 PM,92207
Monday,5 AM,10586
Monday,5 PM,136215
Monday,6 AM,31000
Monday,6 PM,130639
Monday,7 AM,59062
Monday,7 PM,105690
Monday,8 AM,91757
Monday,8 PM,76868
Monday,9 AM,70711
Monday,9 PM,53044
Saturday,1 AM,22299
Saturday,1 PM,103556
Saturday,10 AM,75720
Saturday,10 PM,47997
Saturday,11 AM,89414
Saturday,11 PM,40983
Saturday,12 AM,31416
Saturday,12 PM,100170
Saturday,2 AM,15947
Saturday,2 PM,103562
Saturday,3 AM,10667
Saturday,3 PM,103318
Saturday,4 AM,6919
Saturday,4 PM,97547
Saturday,5 AM,5581
Saturday,5 PM,89930
Saturday,6 AM,11739
Saturday,6 PM,89376
Saturday,7 AM,21240
Saturday,7 PM,79988
Saturday,8 AM,35467
Saturday,8 PM,63887
Saturday,9 AM,57882
Saturday,9 PM,53109
Sunday,1 AM,20860
Sunday,1 PM,83310
Sunday,10 AM,55326
Sunday,10 PM,31674
Sunday,11 AM,67304
Sunday,11 PM,22395
Sunday,12 AM,28002
Sunday,12 PM,76693
Sunday,2 AM,14707
Sunday,2 PM,85580
Sunday,3 AM,10012
Sunday,3 PM,86191
Sunday,4 AM,6332
Sunday,4 PM,82821
Sunday,5 AM,4693
Sunday,5 PM,82568
Sunday,6 AM,8797
Sunday,6 PM,82405
Sunday,7 AM,14632
Sunday,7 PM,67661
Sunday,8 AM,24433
Sunday,8 PM,53023
Sunday,9 AM,39712
Sunday,9 PM,40131
Thursday,1 AM,9775
Thursday,1 PM,66755
Thursday,10 AM,56856
Thursday,10 PM,49968
Thursday,11 AM,55190
Thursday,11 PM,33663
Thursday,12 AM,18099
Thursday,12 PM,60448
Thursday,2 AM,5863
Thursday,2 PM,70639
Thursday,3 AM,3585
Thursday,3 PM,77716
Thursday,4 AM,4020
Thursday,4 PM,94286
Thursday,5 AM,10601
Thursday,5 PM,132296
Thursday,6 AM,29403
Thursday,6 PM,128996
Thursday,7 AM,57522
Thursday,7 PM,101891
Thursday,8 AM,93453
Thursday,8 PM,76714
Thursday,9 AM,76324
Thursday,9 PM,60085
Tuesday,1 AM,7625
Tuesday,1 PM,64698
Tuesday,10 AM,54995
Tuesday,10 PM,42684
Tuesday,11 AM,55844
Tuesday,11 PM,28611
Tuesday,12 AM,14841
Tuesday,12 PM,62458
Tuesday,2 AM,4542
Tuesday,2 PM,68933
Tuesday,3 AM,2900
Tuesday,3 PM,77137
Tuesday,4 AM,3689
Tuesday,4 PM,98333
Tuesday,5 AM,12564
Tuesday,5 PM,148248
Tuesday,6 AM,36406
Tuesday,6 PM,133054
Tuesday,7 AM,66389
Tuesday,7 PM,104205
Tuesday,8 AM,104169
Tuesday,8 PM,75958
Tuesday,9 AM,79472
Tuesday,9 PM,55897
Wednesday,1 AM,8121
Wednesday,1 PM,64259
Wednesday,10 AM,55669
Wednesday,10 PM,42564
Wednesday,11 AM,56580
Wednesday,11 PM,29946
Wednesday,12 AM,16034
Wednesday,12 PM,62820
Wednesday,2 AM,4785
Wednesday,2 PM,68349
Wednesday,3 AM,3025
Wednesday,3 PM,76123
Wednesday,4 AM,3503
Wednesday,4 PM,96546
Wednesday,5 AM,11900
Wednesday,5 PM,142805
Wednesday,6 AM,34435
Wednesday,6 PM,144044
Wednesday,7 AM,64472
Wednesday,7 PM,112165
Wednesday,8 AM,99498
Wednesday,8 PM,81837
Wednesday,9 AM,76040
Wednesday,9 PM,55315
